2026-06-04 05:53:48 status half-configured linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status installed linux-tools-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 configure linux-headers-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-headers-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status half-configured linux-headers-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status installed linux-headers-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 configure linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:48 status unpacked linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:48 status half-configured linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:50 status installed linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:50 status triggers-pending linux-image-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:50 configure linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:50 status unpacked linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:50 status half-configured linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:52 status installed linux-modules-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:52 configure linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6 <none>
2026-06-04 05:53:52 status unpacked linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:52 status half-configured linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 status installed linux-main-modules-zfs-7.0.0-1006-aws:amd64 7.0.0-1006.6
2026-06-04 05:53:54 configure linux-image-aws:amd64 7.0.0-1006.6 <none>
